" She sells seashells by the seashore.", 0, 0, 3599.99

" Peter Piper picked a peck of pickled peppers.", 0, 0, 3599.99

" Betty Botter bought some butter.", 0, 0, 3599.99

" Whether the weather is warm, whether the weather is hot, we have to put up with the weather, whether we like it or not.", 0, 0, 3599.99

" She sells seashells by the seashore.
 The shells that she sells are seashells I'm sure.
 So if she sells seashells by the seashore,
 I'm sure that the shells are seashore shells.", 0, 0, 3599.99

" Peter Piper picked a peck of pickled peppers.
 A peck of pickled peppers Peter Piper picked.
 If Peter Piper picked a peck of pickled peppers.
 Where's the peck of pickled peppers Peter Piper picked?", 0, 0, 3599.99

" Betty Botter bought some butter.
 But she said the butter's bitter.
 If I put it in my batter, it will make my batter bitter.
 But a bit of better butter will make my batter better.
 So 'twas better Betty Botter bought a bit of better butter.", 0, 0, 3599.99

" How much wood could Chuck Woods' woodchuck chuck, if Chuck Woods' woodchuck could and would chuck wood?
 If Chuck Woods' woodchuck could and would chuck wood, how much wood could and would Chuck Woods' woodchuck chuck?
  Chuck Woods' woodchuck would chuck, he would, as much as he could, and chuck as much wood as any woodchuck would, if a woodchuck could and would chuck wood.", 0, 0, 3599.99

" Red lorry, yellow lorry.
 Red lorry, yellow lorry.
 Red lorry, yellow lorry.", 0, 0, 3599.99

" Red leather yellow leather.
 Red leather yellow leather.
 Red leather yellow leather.", 0, 0, 3599.99

" Really leery, rarely Larry.
 Really leery, rarely Larry.
 Really leery, rarely Larry.", 0, 0, 3599.99

" I scream you scream we all scream for ice cream.", 0, 0, 3599.99

" Fuzzy wuzzy was a bear. Fuzzy wuzzy had no hair. Fuzzy wuzzy wasn't very fuzzy, was he?", 0, 0, 3599.99

" Friendly fleas and fireflies.", 0, 0, 3599.99

" Not these things here, but those things there.", 0, 0, 3599.99

" Eleven owls licked eleven little liquorice lollipops.", 0, 0, 3599.99

" Greek grapes, Greek grapes, Greek grapes.", 0, 0, 3599.99

" Kitty caught the kitten in the kitchen.", 0, 0, 3599.99

" Zebras zig and zebras zag.", 0, 0, 3599.99

" If two witches were watching two watches, which witch would watch which watch?", 0, 0, 3599.99

" The big bug bit the little beetle, but the little beetle bit the big bug back.", 0, 0, 3599.99

" If you want to buy, buy, if you don't want to buy, bye bye!", 0, 0, 3599.99

" The blue bluebird blinks.", 0, 0, 3599.99

" A tricky frisky snake with sixty super scaly stripes.", 0, 0, 3599.99

" I can think of six thin things, but I can think of six thick things too.", 0, 0, 3599.99

" Toy phone, Toy phone, Toy phone.
 Toy phone, Toy phone, Toy phone.
 Toy phone, Toy phone, Toy phone.", 0, 0, 3599.99

" Give papa a cup of proper coffee in a copper coffee cup.", 0, 0, 3599.99

" How much wood would a woodchuck chuck if a woodchuck could chuck wood", 0, 0, 3599.99

" A big black bug bit a big black dog on his big black nose.", 0, 0, 3599.99

" Quick kiss, quick kiss, quick kiss.", 0, 0, 3599.99

" Fresh fried fish, fish fresh fried, fried fish fresh, fish fried fresh.", 0, 0, 3599.99

" How many boards.
 Could the Mongols hoard.
 If the Mongol hordes got bored?", 0, 0, 3599.99

" Denise sees the fleece,
 Denise sees the fleas.
 At least Denise could sneeze and feed and freeze the fleas.", 0, 0, 3599.99

" The thirty-three thieves thought that they thrilled the throne throughout Thursday.", 0, 0, 3599.99

" Something in a thirty-acre thermal thicket of thorns and thistles thumped and thundered threatening the three-D thoughts of Matthew the thug - although, theatrically, it was only the thirteen-thousand thistles and thorns through the underneath of his thigh that the thirty year old thug thought of that morning.", 0, 0, 3599.99

" Can you can a can as a canner can can a can?", 0, 0, 3599.99

" I wish to wish the wish you wish to wish, but if you wish the wish the witch wishes, I won't wish the wish you wish to wish.", 0, 0, 3599.99

" How many cans can a cannibal nibble if a cannibal can nibble cans?
 As many cans as a cannibal can nibble if a cannibal can nibble cans.", 0, 0, 3599.99

" Yellow butter, purple jelly, red jam, black bread.
 Spread it thick, say it quick!
 Yellow butter, purple jelly, red jam, black bread.
 Spread it thicker, say it quicker!
 Yellow butter, purple jelly, red jam, black bread.
 Don't eat with your mouth full!", 0, 0, 3599.99

" Fresh fried fish,
 Fish fresh fried,
 Fried fish fresh,
 Fish fried fresh.", 0, 0, 3599.99
